id,name
1,Mihai Eminescu
2,Ion Creangă
3,Mircea Eliade
4,Haruki Murakami
5,J.K. Rowling
6,George Orwell
7,Fyodor Dostoevsky
8,Leo Tolstoy
9,Franz Kafka
10,Albert Camus
11,Umberto Eco
12,Gabriel Garcia Marquez
13,Jane Austen
14,Charles Dickens
15,Mark Twain
16,Ernest Hemingway
17,F. Scott Fitzgerald
18,Virginia Woolf
19,Marcel Proust
20,Herman Melville
21,J.R.R. Tolkien
22,Isaac Asimov
23,Arthur Conan Doyle
24,Edgar Allan Poe
25,Oscar Wilde
26,Aldous Huxley
27,Toni Morrison
28,Kurt Vonnegut
29,Salman Rushdie
30,Isabel Allende
31,Vladimir Nabokov
32,Mary Shelley
33,Bram Stoker
34,Lewis Carroll
35,Gustave Flaubert
36,Victor Hugo
37,Aleksandr Solzhenitsyn
38,Nikos Kazantzakis
39,Soren Kierkegaard
40,Paulo Coelho
41,C.S. Lewis
42,Homer
43,Dante Alighieri
44,John Steinbeck
45,Philip K. Dick
46,J.D. Salinger
47,Stephen King
48,Agatha Christie
49,Muriel Spark
50,Author_50
51,George Călinescu
